Date,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All
11/10/2015,240942,36541,56419,65153,126161,109474,227854,231047,13088,9896,15.2,23.4,27,52.4,45.4,94.6,95.9,5.4,4.1,14.1,14.4,21.9,23.1,8.9,9.2,14.3,15.2
11/3/2015,239249,36733,51565,68497,121263,110367,226493,230429,12756,8821,15.4,21.6,28.6,50.7,46.1,94.7,96.3,5.3,3.7,14.2,14.1,22,23.5,8.8,9.3,14.4,15.9
10/27/2015,233741,37245,47640,66006,117105,110624,220356,224271,13384,9470,15.9,20.4,28.2,50.1,47.3,94.3,95.9,5.7,4.1,13.5,14.3,21.4,23.4,9.1,9.4,14.2,16.2
10/20/2015,218652,37832,39218,60484,107788,109467,206104,209169,12548,9483,17.3,17.9,27.7,49.3,50.1,94.3,95.7,5.7,4.3,13,14.7,20.8,24.6,9.1,10.6,14.3,17.9
10/13/2015,221658,39177,40707,59545,111436,111696,210158,211949,11500,9709,17.7,18.4,26.9,50.3,50.4,94.8,95.6,5.2,4.4,13.4,14.5,21.3,24.2,8.8,10.5,13.8,17.7
10/6/2015,226449,39492,52058,55323,119547,109614,214363,216996,12087,9454,17.4,23,24.4,52.8,48.4,94.7,95.8,5.3,4.2,12.9,14.1,21.2,23.7,8.8,10.3,14.5,17.8
9/29/2015,228081,39639,60012,53576,122591,105347,215806,218935,12275,9146,17.4,26.3,23.5,53.7,46.2,94.6,96,5.4,4,13,13.7,21.2,24,8.9,10.7,15.3,18.3
9/22/2015,224764,38719,63362,51824,120822,100043,211366,215229,13398,9535,17.2,28.2,23.1,53.8,44.5,94,95.8,6,4.2,12,13.4,20.6,23.1,9,10.5,15.7,18.3
9/15/2015,216337,38429,61856,46883,118233,97864,203546,206603,12791,9734,17.8,28.6,21.7,54.7,45.2,94.1,95.5,5.9,4.5,12.3,14.6,20.9,24.6,9.3,10.9,15.9,18.9
9/8/2015,211461,37065,57563,49723,113665,95857,200453,203143,11008,8318,17.5,27.2,23.5,53.8,45.3,94.8,96.1,5.2,3.9,12.3,15.1,21,24.8,9.3,10.5,15.7,18.1
9/1/2015,206946,37101,53375,49087,107255,93217,193444,195679,13502,11267,17.9,25.8,23.7,51.8,45,93.5,94.6,6.5,5.4,11.9,15.5,20.3,25.2,9.1,10.5,15.5,18.4
8/25/2015,199764,36638,48056,47966,103996,94801,188600,190824,11164,8940,18.3,24.1,24,52.1,47.5,94.4,95.5,5.6,4.5,12.3,16.7,20.9,26.6,9.9,11,15.8,19
8/18/2015,195201,42868,33456,43882,98771,109775,185522,187114,9679,8087,22,17.1,22.5,50.6,56.2,95,95.9,5,4.1,13.5,17.1,23,28.5,9.8,11.5,16,19.2
8/11/2015,224535,44655,45449,57195,109606,110264,211456,212908,13079,11627,19.9,20.2,25.5,48.8,49.1,94.2,94.8,5.8,5.2,12.8,14.8,21.4,24.9,8.7,9.6,15.1,17.1
8/4/2015,225814,40960,56139,56723,116620,103522,214303,216383,11511,9431,18.1,24.9,25.1,51.6,45.8,94.9,95.8,5.1,4.2,13.1,13.3,21.6,23.4,8.7,9.8,16,17.8
7/28/2015,226066,39348,59139,54526,119573,102904,213447,216569,12619,9497,17.4,26.2,24.1,52.9,45.5,94.4,95.8,5.6,4.2,13.1,12.7,21.9,23,9.2,10.1,16.9,18
7/21/2015,211044,39250,53548,48780,111132,99222,199163,201551,11881,9493,18.6,25.4,23.1,52.7,47,94.4,95.5,5.6,4.5,13.1,12.9,22,23.8,10,10.6,17.9,19.2
7/14/2015,207279,38491,52754,46240,110458,98708,195189,197702,12090,9577,18.6,25.5,22.3,53.3,47.6,94.2,95.4,5.8,4.6,12.8,13.3,21.7,24.5,9.9,11.2,17.5,20.2
7/7/2015,211179,37217,54641,48875,111617,98142,197708,201658,13470,9521,17.6,25.9,23.1,52.9,46.5,93.6,95.5,6.4,4.5,12.5,13.1,21.4,23.5,10,10.8,17.8,19.3
6/30/2015,198989,40351,45843,43608,103964,100310,187923,189761,11066,9229,20.3,23,21.9,52.2,50.4,94.4,95.4,5.6,4.6,11.9,13.5,20.6,25.2,9.5,11.4,16.3,20.1
6/23/2015,203609,42088,49649,40760,109927,104939,192775,195348,10834,8261,20.7,24.4,20,54,51.5,94.7,95.9,5.3,4.1,12.1,14.8,21.2,26,9.6,11.9,16.6,21.3
6/16/2015,201102,41117,44278,45642,103068,101593,189827,191513,11276,9589,20.4,22,22.7,51.3,50.5,94.4,95.2,5.6,4.8,12,12.9,21.1,23.7,9.3,11.9,16.5,21
6/9/2015,220676,41844,40492,58292,109537,111569,209672,210354,11004,10322,19,18.3,26.4,49.6,50.6,95,95.3,5,4.7,11.8,12.1,19.8,22.3,8.3,10.9,15,19.1
6/2/2015,227417,42539,52409,58589,115142,106506,216271,217504,11146,9913,18.7,23,25.8,50.6,46.8,95.1,95.6,4.9,4.4,12,12,19.6,21.8,8.4,10.8,15.1,19.1
5/26/2015,228704,41569,54310,58479,116875,106313,216923,219103,11781,9601,18.2,23.7,25.6,51.1,46.5,94.8,95.8,5.2,4.2,12.5,12,20.1,21.4,8.9,10.3,15.9,18.7
5/19/2015,212588,42439,40407,51562,107828,111914,201829,203882,10759,8705,20,19,24.3,50.7,52.6,94.9,95.9,5.1,4.1,12.6,13.4,20.6,24.3,8.8,11.6,16.2,20.5
5/12/2015,216134,42273,47529,52759,111331,107922,206363,208210,9771,7924,19.6,22,24.4,51.5,49.9,95.5,96.3,4.5,3.7,13.1,13.8,21.2,23.8,9.1,11.2,16.8,19.7
5/5/2015,219672,43696,46938,53968,112477,110709,210142,211616,9530,8056,19.9,21.4,24.6,51.2,50.4,95.7,96.3,4.3,3.7,13.2,14.5,21.2,23.8,9.1,11.3,16.8,19.5
4/28/2015,213780,44858,45853,49537,110950,111453,205345,206843,8435,6938,21,21.4,23.2,51.9,52.1,96.1,96.8,3.9,3.2,13.3,14.9,21.8,24.6,9.7,11.8,17.5,20.3
4/21/2015,204717,44038,44318,44958,109891,111870,198886,201146,5830,3571,21.5,21.6,22,53.7,54.6,97.2,98.3,2.8,1.7,13.2,15.4,22.1,25.8,10,12.4,18.1,21.4
4/14/2015,214777,41494,47081,46497,119742,116197,207733,209775,7044,5002,19.3,21.9,21.6,55.8,54.1,96.7,97.7,3.3,2.3,14.2,16.6,22.8,26.7,10,12,17.8,20.8
4/7/2015,239436,42264,42435,65989,123900,125689,232154,234113,7282,5323,17.7,17.7,27.6,51.7,52.5,97,97.8,3,2.2,14,16.6,21.9,25.5,8.4,10.7,14.6,18.7
3/31/2015,246483,42777,48268,70695,125579,121426,239050,240389,7433,6094,17.4,19.6,28.7,50.9,49.3,97,97.5,3,2.5,12.8,14.2,20.8,23.3,8.5,10.4,14.8,18.3
3/24/2015,238478,43645,48227,67570,119518,116084,230733,231882,7745,6595,18.3,20.2,28.3,50.1,48.7,96.8,97.2,3.2,2.8,13.2,13.2,21.4,22.6,9,10.8,15.3,19
3/17/2015,236170,44668,48044,63792,118952,116814,227413,228650,8757,7519,18.9,20.3,27,50.4,49.5,96.3,96.8,3.7,3.2,13.6,13.1,21.5,22.7,9.2,11.1,15.1,19.3
3/10/2015,237436,44133,46208,67894,117002,116036,229029,230139,8407,7298,18.6,19.5,28.6,49.3,48.9,96.5,96.9,3.5,3.1,13.3,13.1,21.3,22.5,8.9,11,14.8,19
3/3/2015,227895,42504,42009,61771,114855,116652,219130,220432,8765,7463,18.7,18.4,27.1,50.4,51.2,96.2,96.7,3.8,3.3,13.3,13.8,21.3,23.3,8.7,11.5,14.6,19.1
2/24/2015,205359,41646,32041,50111,105940,115904,197698,198056,7661,7303,20.3,15.6,24.4,51.6,56.4,96.3,96.4,3.7,3.6,12.4,15.5,20.9,25,9.1,12.7,15.6,21
2/17/2015,197258,43336,26182,46193,98568,116884,188097,189259,9160,7998,22,13.3,23.4,50,59.3,95.4,95.9,4.6,4.1,13.1,15.8,22.1,25.6,9.3,14.3,15.8,22.6
2/10/2015,222331,43627,24649,61278,107027,127860,211932,213787,10399,8544,19.6,11.1,27.6,48.1,57.5,95.3,96.2,4.7,3.8,13.1,14.9,22.1,25.8,8,13,13.6,20.6
2/3/2015,216010,40558,22012,60809,106393,125467,207760,208288,8250,7722,18.8,10.2,28.2,49.3,58.1,96.2,96.4,3.8,3.6,14.2,15.7,23.1,27.5,9.2,13.6,14.9,21.1
1/27/2015,216115,42216,20214,60082,105096,128757,207395,209053,8720,7061,19.5,9.4,27.8,48.6,59.6,96,96.7,4,3.3,14,15.9,23.1,28.4,9.2,14,14.9,21.2
1/20/2015,208676,44138,15580,53952,102565,132503,200655,202035,8021,6641,21.2,7.5,25.9,49.2,63.5,96.2,96.8,3.8,3.2,13.6,16.9,22.7,28.8,9.3,14.6,15.2,22.2
1/13/2015,209569,46304,13041,54385,101315,135182,202004,202608,7565,6960,22.1,6.2,26,48.3,64.5,96.4,96.7,3.6,3.3,12.6,17.1,21.7,28.6,9.2,14.9,15.4,22.5
1/6/2015,205889,45617,17550,47353,104450,133345,197419,198247,8470,7641,22.2,8.5,23,50.7,64.8,95.9,96.3,4.1,3.7,13.2,17.1,22.5,28.3,9.8,14.7,16.5,22.6
12/30/2014,198942,42367,15978,43981,104260,131118,190608,191076,8334,7865,21.3,8,22.1,52.4,65.9,95.8,96,4.2,4,13.7,17.2,23.2,28.5,10.3,15.1,17,23.2
12/23/2014,194640,43341,12693,42220,101442,132260,187003,187172,7637,7468,22.3,6.5,21.7,52.1,68,96.1,96.2,3.9,3.8,13.6,18.2,23.3,29.4,10.4,15.9,17.3,24.1
12/16/2014,187524,45201,10551,38997,95671,131011,179868,180558,7655,6966,24.1,5.6,20.8,51,69.9,95.9,96.3,4.1,3.7,12.9,19.7,22.6,31.4,10.3,16.7,17.6,25.1
12/9/2014,190730,46960,10466,41100,95228,132747,183288,184313,7443,6417,24.6,5.5,21.5,49.9,69.6,96.1,96.6,3.9,3.4,12.4,20.4,22.1,31.6,10.1,17,16.9,24.6
12/2/2014,189343,52599,8536,41664,90313,136299,184576,186499,4767,2844,27.8,4.5,22,47.7,72,97.5,98.5,2.5,1.5,11.8,19.7,21.4,31.2,9.9,17.3,16.7,25.1
11/25/2014,187178,54381,6137,39953,84979,136029,179312,182119,7865,5058,29.1,3.3,21.3,45.4,72.7,95.8,97.3,4.2,2.7,11.6,20.3,20.4,31.4,9.9,17.8,16.6,25.9
11/18/2014,184196,51038,7591,37034,88061,134284,176133,178909,8062,5287,27.7,4.1,20.1,47.8,72.9,95.6,97.1,4.4,2.9,11.2,19.2,20.3,30.1,9.7,17.2,16.5,25.4
11/11/2014,214150,49230,8352,57557,98645,141740,205431,207648,8719,6502,23,3.9,26.9,46.1,66.2,95.9,97,4.1,3,12.3,18.2,20.6,28.9,8.6,15.2,14.8,22.2
11/4/2014,220007,50462,8340,61745,99913,144433,212119,214518,7888,5489,22.9,3.8,28.1,45.4,65.6,96.4,97.5,3.6,2.5,11.5,18,20.1,29.3,7.8,14.9,13.6,21.3
10/28/2014,226771,52601,7329,64676,103137,151461,220414,223466,6357,3305,23.2,3.2,28.5,45.5,66.8,97.2,98.5,2.8,1.5,12.3,19.6,20.6,30.9,8.1,14.9,13.6,21.2
10/21/2014,229894,57347,6604,64046,101221,154798,222615,225448,7279,4446,24.9,2.9,27.9,44,67.3,96.8,98.1,3.2,1.9,12.4,19.8,20.6,31,7.8,14.6,13.2,21
10/14/2014,231761,59709,7889,65815,98644,153033,224167,226736,7594,5025,25.8,3.4,28.4,42.6,66,96.7,97.8,3.3,2.2,12.5,19.2,20.8,30.1,7.8,14.3,13.2,20.7
10/7/2014,226222,55603,9650,63963,99265,147646,218831,221260,7391,4963,24.6,4.3,28.3,43.9,65.3,96.7,97.8,3.3,2.2,12.8,19.2,21.5,30.5,8,14.2,13.6,20.4
9/30/2014,203895,52264,11346,52342,92638,135499,197244,199187,6651,4708,25.6,5.6,25.7,45.4,66.5,96.7,97.7,3.3,2.3,12.5,19,21.4,31,9,15.5,15.4,23
9/23/2014,196040,50154,13503,48166,91723,129615,190043,191285,5997,4756,25.6,6.9,24.6,46.8,66.1,96.9,97.6,3.1,2.4,12.5,18.7,21.7,31.1,9.8,15.6,16.9,23.4
9/16/2014,198002,53280,12498,48787,89907,133242,191974,194527,6028,3475,26.9,6.3,24.6,45.4,67.3,97,98.2,3,1.8,11.7,19.4,20.8,31.8,9.7,15.9,16.5,24.1
9/9/2014,200317,59253,11655,48248,85132,136286,192633,196189,7684,4129,29.6,5.8,24.1,42.5,68,96.2,97.9,3.8,2.1,11.7,19.3,20.4,31.5,9.2,15.8,15.8,24
9/2/2014,199112,58252,9445,50836,81639,134355,190726,194637,8386,4476,29.3,4.7,25.5,41,67.5,95.8,97.8,4.2,2.2,11.1,19.4,19.8,31.7,9.3,16.5,15.9,25.1
8/26/2014,190881,56473,9694,45408,80595,131350,182476,186452,8406,4430,29.6,5.1,23.8,42.2,68.8,95.6,97.7,4.4,2.3,11.4,20.2,20.5,32.5,9.8,17.3,16.5,26.5
8/19/2014,191328,54646,9417,41554,86902,135283,183102,186254,8226,5073,28.6,4.9,21.7,45.4,70.7,95.7,97.3,4.3,2.7,11.3,20.9,20.3,32.6,9.7,16,16.5,25.1
8/12/2014,194235,53289,9491,45267,87495,135032,186051,189790,8184,4445,27.4,4.9,23.3,45,69.5,95.8,97.7,4.2,2.3,11.1,19.4,19.5,31,9.6,15.8,16.1,24.5
8/5/2014,218759,53486,8410,63423,93826,141896,210735,213729,8024,5030,24.4,3.8,29,42.9,64.9,96.3,97.7,3.7,2.3,10.8,18.1,19.5,29.8,8.5,14.5,14.2,22.1
7/29/2014,215443,51468,10238,60226,95785,138724,207479,209188,7964,6255,23.9,4.8,28,44.5,64.4,96.3,97.1,3.7,2.9,10.9,17.9,19.5,29.3,8.9,13.7,14.8,21.5
7/22/2014,209850,48519,12747,57179,97540,134663,203239,204590,6612,5260,23.1,6.1,27.2,46.5,64.2,96.8,97.5,3.2,2.5,10.6,17.9,19.8,29.2,9.1,13.5,15.2,21.3
7/15/2014,211334,47388,13574,58825,99332,134350,205545,206749,5788,4585,22.4,6.4,27.8,47,63.6,97.3,97.8,2.7,2.2,10.6,18.3,20.3,29.4,9.1,13.6,15.1,21.3
7/8/2014,206546,50178,10336,56294,93542,135731,200013,202360,6532,4185,24.3,5,27.3,45.3,65.7,96.8,98,3.2,2,10.9,18.4,20.2,29.6,9.2,14.8,15.5,22.4
7/1/2014,208176,51064,10653,56784,94398,137457,202246,204893,5930,3283,24.5,5.1,27.3,45.3,66,97.2,98.4,2.8,1.6,11,18.7,20.3,30,9.2,14.6,15.4,22.1
6/24/2014,205384,51680,9842,55884,91443,135559,199007,201285,6377,4099,25.2,4.8,27.2,44.5,66,96.9,98,3.1,2,11,17.7,20,28.7,9.5,14.8,15.9,22.3
6/17/2014,209734,51518,10647,54745,96072,138821,202335,204213,7399,5521,24.6,5.1,26.1,45.8,66.2,96.5,97.4,3.5,2.6,10.8,16.4,20.2,28,9.3,13,15.4,20.6
6/10/2014,241136,51409,11067,78082,103889,146188,233380,235337,7756,5799,21.3,4.6,32.4,43.1,60.6,96.8,97.6,3.2,2.4,11.7,14.9,20.3,27,7.8,11.3,13.3,18
6/3/2014,235947,51400,10839,78222,98269,141994,227892,231055,8055,4892,21.8,4.6,33.2,41.6,60.2,96.6,97.9,3.4,2.1,11.7,13.8,20.2,25,8,10.2,13.7,17.2
5/27/2014,233983,51681,10104,75250,99377,143955,226307,229310,7676,4674,22.1,4.3,32.2,42.5,61.5,96.7,98,3.3,2,11.5,14,20.2,25.4,8.1,10.9,13.7,17.7
5/20/2014,234067,51725,8461,76202,99233,145159,227160,229822,6907,4245,22.1,3.6,32.6,42.4,62,97,98.2,3,1.8,11.6,14.2,20.6,25.9,8.1,11,13.7,17.8
5/13/2014,229561,50218,8319,73193,98967,143868,222378,225381,7183,4180,21.9,3.6,31.9,43.1,62.7,96.9,98.2,3.1,1.8,11.2,14.2,20.4,26,8.2,11.3,13.8,18
5/6/2014,231889,52108,7237,75940,96307,145024,224355,228201,7534,3689,22.5,3.1,32.7,41.5,62.5,96.8,98.4,3.2,1.6,11.9,14.8,20.8,26.3,7.8,11.7,13.5,18
4/29/2014,233320,52207,7568,75914,97810,146298,225931,229780,7390,3540,22.4,3.2,32.5,41.9,62.7,96.8,98.5,3.2,1.5,11.9,14.8,20.9,26.6,7.7,11.7,13.6,17.8
4/22/2014,228275,50513,8306,72754,95989,143755,219255,224814,9020,3461,22.1,3.6,31.9,42,63,96,98.5,4,1.5,12.2,15.5,20.5,27.8,7.7,12.2,13.7,18.8
4/15/2014,224476,49591,8117,68081,97251,142674,214923,218872,9553,5604,22.1,3.6,30.3,43.3,63.6,95.7,97.5,4.3,2.5,11.4,14.7,19.8,26.9,7.7,12.8,13.6,19.3
4/8/2014,265138,50905,10447,101052,104601,149660,256559,261160,8579,3978,19.2,3.9,38.1,39.5,56.4,96.8,98.5,3.2,1.5,13,14.6,21.7,27,6.7,11,11.6,16.6
4/1/2014,257760,52344,10112,91100,105859,151669,249303,252881,8456,4879,20.3,3.9,35.3,41.1,58.8,96.7,98.1,3.3,1.9,12.6,15.3,21.1,27.3,6.8,10.7,11.9,16.5
3/25/2014,259294,54279,9265,90105,104997,154268,249381,253638,9913,5655,20.9,3.6,34.8,40.5,59.5,96.2,97.8,3.8,2.2,12.6,15.6,21.1,27.5,6.7,10.7,12,16.4
3/18/2014,257983,52853,8288,88819,106389,154461,248062,251568,9921,6415,20.5,3.2,34.4,41.2,59.9,96.2,97.5,3.8,2.5,12.8,16.2,21.9,28.5,6.8,11.1,12.3,16.8
3/11/2014,261697,47616,9601,89280,114973,156853,251868,255734,9829,5964,18.2,3.7,34.1,43.9,59.9,96.2,97.7,3.8,2.3,13.2,16.4,21.9,28.8,7,10.9,12.2,16.3
3/4/2014,243239,46297,11647,77979,109001,147274,233277,236899,9962,6339,19,4.8,32.1,44.8,60.5,95.9,97.4,4.1,2.6,12.5,16.1,21.5,28.2,7.7,11.9,13.3,18.1
2/25/2014,229545,49449,14880,68153,101019,138843,218621,221876,10924,7669,21.5,6.5,29.7,44,60.5,95.2,96.7,4.8,3.3,11.4,16.4,19.8,28,8,13.3,14.4,20.2
2/18/2014,218648,52274,21337,55105,100546,134742,207925,211184,10723,7464,23.9,9.8,25.2,46,61.6,95.1,96.6,4.9,3.4,11.5,17.3,20.3,27.9,9.2,13,16.5,20.8
2/11/2014,225807,47630,25645,64576,101804,127573,214009,217793,11798,8014,21.1,11.4,28.6,45.1,56.5,94.8,96.5,5.2,3.5,10.8,14.6,19.4,24.5,8.9,10.6,16.1,18.2
2/4/2014,213973,48713,35771,58203,95674,111007,202590,204981,11383,8992,22.8,16.7,27.2,44.7,51.9,94.7,95.8,5.3,4.2,11.1,12.4,19.9,22,9.7,9.8,17.5,17.4
1/28/2014,187031,45494,46411,39601,89570,92736,174664,178748,12366,8283,24.3,24.8,21.2,47.9,49.6,93.4,95.6,6.6,4.4,12.4,13,21.6,21.8,11.1,10.9,19.7,18.6
1/21/2014,181118,44473,42135,38543,86013,92052,169029,172730,12089,8388,24.6,23.3,21.3,47.5,50.8,93.3,95.4,6.7,4.6,12.4,13.2,21.9,22,11.4,11.2,20.2,19.3
1/14/2014,181575,45283,40440,39412,85705,93128,170400,172980,11175,8596,24.9,22.3,21.7,47.2,51.3,93.8,95.3,6.2,4.7,12.4,12.8,21.9,22.2,11.4,10.6,20.4,19.2
1/7/2014,179199,43371,42186,40627,85418,88508,169416,171321,9782,7878,24.2,23.5,22.7,47.7,49.4,94.5,95.6,5.5,4.4,11.2,12.5,20.7,21.8,11.2,10.2,19.4,18.1
12/31/2013,173018,41977,45947,37604,84416,82907,163997,166458,9021,6560,24.3,26.6,21.7,48.8,47.9,94.8,96.2,5.2,3.8,11.6,12.8,21.6,22.2,11.6,10.4,20.4,18.2
12/24/2013,174453,43325,46311,37623,84678,83064,165627,166998,8827,7455,24.8,26.5,21.6,48.5,47.6,94.9,95.7,5.1,4.3,11.5,12.4,21.7,21.8,11.5,10,20.5,18.1
12/17/2013,177934,43427,51363,39475,86426,80262,169328,171100,8606,6834,24.4,28.9,22.2,48.6,45.1,95.2,96.2,4.8,3.8,11.4,12,21.5,20.9,11.3,9.6,20.4,17.5
12/10/2013,181744,45411,60658,39185,88937,75021,173532,174864,8212,6881,25,33.4,21.6,48.9,41.3,95.5,96.2,4.5,3.8,11.4,12.9,21.5,22,11.3,10.8,20.3,19.2
12/3/2013,175675,44639,58747,36771,86236,74295,167646,169814,8029,5862,25.4,33.4,20.9,49.1,42.3,95.4,96.7,4.6,3.3,11.8,13,22.3,22.7,11.6,11,21.2,19.8
11/26/2013,177347,44309,61003,35767,88945,74907,169022,171677,8325,5670,25,34.4,20.2,50.2,42.2,95.3,96.8,4.7,3.2,11.7,13,22.1,22.7,11.5,10.9,21.1,19.4
11/19/2013,179636,45857,64858,35210,89052,73080,170119,173148,9517,6487,25.5,36.1,19.6,49.6,40.7,94.7,96.4,5.3,3.6,11.4,13.8,21.5,23.7,11.4,11.8,20.6,20.3
11/12/2013,189628,44898,68594,38586,94432,75279,177916,182459,11713,7169,23.7,36.2,20.3,49.8,39.7,93.8,96.2,6.2,3.8,10.9,12,20.4,21.1,10.8,9.9,19.7,17.8
11/5/2013,216909,44437,71033,55652,101849,81012,201938,207697,14972,9213,20.5,32.7,25.7,47,37.3,93.1,95.8,6.9,4.2,9.6,11.2,18.1,19.3,9.4,8.1,17,14.7
10/29/2013,210700,42899,66079,54751,99616,80212,197266,201042,13435,9659,20.4,31.4,26,47.3,38.1,93.6,95.4,6.4,4.6,9.8,11,18.5,19.4,9.8,8.5,17.7,15.4
10/22/2013,197397,42121,60359,50403,92076,78313,184600,189076,12797,8321,21.3,30.6,25.5,46.6,39.7,93.5,95.8,6.5,4.2,10.4,10.9,19.8,19.7,10.4,8.6,18.8,15.6
10/15/2013,189567,40893,54559,47559,88288,78641,176740,180759,12827,8807,21.6,28.8,25.1,46.6,41.5,93.2,95.4,6.8,4.6,10.8,11.3,20.6,20.3,10.8,9.1,19.8,16
10/8/2013,191209,41772,60088,47568,89190,74522,178530,182178,12680,9031,21.8,31.4,24.9,46.6,39,93.4,95.3,6.6,4.7,10.8,11.3,20.6,20.1,10.7,9.4,19.8,16.9
10/1/2013,190244,41388,60997,46913,88827,72831,177128,180741,13115,9503,21.8,32.1,24.7,46.7,38.3,93.1,95,6.9,5,10.9,11.3,20.6,20.1,10.8,9.3,19.9,17
9/24/2013,186784,41000,60274,45438,88075,71679,174513,177390,12272,9394,22,32.3,24.3,47.2,38.4,93.4,95,6.6,5,11.2,11.3,21.1,20.6,11.2,9.7,20.4,17.7
9/17/2013,187231,42015,63127,43526,88555,70788,174097,177441,13134,9789,22.4,33.7,23.2,47.3,37.8,93,94.8,7,5.2,10.9,11.4,20.5,20.5,10.9,9.8,20.1,17.5
9/10/2013,184785,41885,61764,41801,88118,71498,171803,175063,12981,9722,22.7,33.4,22.6,47.7,38.7,93,94.7,7,5.3,10.7,11.7,20.3,20.9,10.7,9.9,19.9,18
9/3/2013,181707,39763,58861,42816,86786,71307,169365,172984,12341,8723,21.9,32.4,23.6,47.8,39.2,93.2,95.2,6.8,4.8,10.7,12.1,20.5,21.6,10.7,10.4,20.1,18.3
8/27/2013,176676,39681,58795,39855,85573,69853,165108,168503,11567,8173,22.5,33.3,22.6,48.4,39.5,93.5,95.4,6.5,4.6,11.2,12.4,21.1,22,11.1,11,20.8,19.1
8/20/2013,171088,38918,53051,37596,83360,71891,159874,162538,11213,8550,22.7,31,22,48.7,42,93.4,95,6.6,5,11.4,12.6,21.4,22.3,11.3,11,21.3,19.4
8/13/2013,179090,38643,52519,37913,91562,79347,168117,169779,10972,9311,21.6,29.3,21.2,51.1,44.3,93.9,94.8,6.1,5.2,10.9,13.8,20.6,23,10.6,10.2,20.2,17.5
8/6/2013,206691,40187,56563,55038,100265,85579,195490,197179,11202,9512,19.4,27.4,26.6,48.5,41.4,94.6,95.4,5.4,4.6,11.2,13.7,20.5,23.8,9.3,8.7,17.7,15.4
7/30/2013,198543,40692,50118,52529,95235,87865,188456,190512,10087,8031,20.5,25.2,26.5,48,44.3,94.9,96,5.1,4,11.4,14.5,21.1,24.5,9.7,9.5,18.5,16.2
7/23/2013,197880,38846,49433,53315,95785,87315,187946,190063,9934,7817,19.6,25,26.9,48.4,44.1,95,96,5,4,11.5,13.8,21.7,23.7,10.2,9.1,18.9,15.8
7/16/2013,193743,40822,57466,47404,95669,80677,183895,185547,9848,8196,21.1,29.7,24.5,49.4,41.6,94.9,95.8,5.1,4.2,11.3,13.6,21.2,23.5,10.3,10.1,18.8,17.5
7/9/2013,194359,41040,61626,48029,95397,75951,184465,185607,9894,8753,21.1,31.7,24.7,49.1,39.1,94.9,95.5,5.1,4.5,11.3,12.3,21.2,22.8,10.2,10.2,18.7,17.1
7/2/2013,192260,41645,61226,46666,94556,75723,182867,183615,9393,8645,21.7,31.8,24.3,49.2,39.4,95.1,95.5,4.9,4.5,11.3,11.8,21.2,22.1,10.1,10.2,18.7,17.3
6/25/2013,192846,42671,66553,45646,95256,72064,183572,184263,9274,8584,22.1,34.5,23.7,49.4,37.4,95.2,95.5,4.8,4.5,11.1,12.1,20.9,22.4,10.2,10.7,18.7,17.9
6/18/2013,199382,41990,66664,43520,102944,79451,188455,189635,10928,9747,21.1,33.4,21.8,51.6,39.8,94.5,95.1,5.5,4.9,11.3,14.4,21.5,24.3,10,10.7,18.3,17.9
6/11/2013,235597,46659,67793,61536,114489,94267,222684,223596,12913,12001,19.8,28.8,26.1,48.6,40,94.5,94.9,5.5,5.1,10.6,13.4,19.6,23.2,8.6,8.4,15.7,14.6
6/4/2013,241452,46133,67047,68951,114316,94081,229400,230078,12052,11374,19.1,27.8,28.6,47.3,39,95,95.3,5,4.7,10.9,13.1,20.2,23.4,8.1,8.2,15,14.2
5/28/2013,235122,42684,61955,68853,111899,93576,223436,224384,11686,10738,18.2,26.4,29.3,47.6,39.8,95,95.4,5,4.6,10.5,13.1,20.1,22.6,8.3,7.8,15.6,13.9
5/21/2013,214133,40264,49540,61516,103300,93879,205079,204934,9054,9199,18.8,23.1,28.7,48.2,43.8,95.8,95.7,4.2,4.3,11.3,14.1,21,24,9.4,8.3,17.2,14.9
5/14/2013,209101,41859,40282,59337,98627,101122,199822,200740,9279,8361,20,19.3,28.4,47.2,48.4,95.6,96,4.4,4,11.4,15,21.3,25.2,9.7,8.8,17.5,15.8
5/7/2013,210495,41588,49287,60093,99530,91645,201211,201025,9284,9470,19.8,23.4,28.5,47.3,43.5,95.6,95.5,4.4,4.5,11.5,13.4,21.4,23.2,9.7,8.2,17.8,15
