Date,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,NonComm_Postions_Spread_All,Comm_Positions_Long_All,Comm_Positions_Short_All,Tot_Rept_Positions_Long_All,Tot_Rept_Positions_Short_All,NonRept_Positions_Long_All,NonRept_Positions_Short_All,Pct_of_OI_NonComm_Long_All,Pct_of_OI_NonComm_Short_All,Pct_of_OI_NonComm_Spread_All,Pct_of_OI_Comm_Long_All,Pct_of_OI_Comm_Short_All,Pct_of_OI_Tot_Rept_Long_All,Pct_of_OI_Tot_Rept_Short_All,Pct_of_OI_NonRept_Long_All,Pct_of_OI_NonRept_Short_All,Conc_Gross_LE_4_TDR_Long_All,Conc_Gross_LE_4_TDR_Short_All,Conc_Gross_LE_8_TDR_Long_All,Conc_Gross_LE_8_TDR_Short_All,Conc_Net_LE_4_TDR_Long_All,Conc_Net_LE_4_TDR_Short_All,Conc_Net_LE_8_TDR_Long_All,Conc_Net_LE_8_TDR_Short_All
1/22/2008,233049,62833,18793,68003,87422,136320,218259,223116,14790,9932,27,8.1,29.2,37.5,58.5,93.7,95.7,6.3,4.3,14.4,19.1,24.5,29.6,13.7,13,21.7,20.8
1/15/2008,236768,66382,21640,66943,86862,138550,220187,227133,16582,9635,28,9.1,28.3,36.7,58.5,93,95.9,7,4.1,13.9,18.4,23.7,28.4,13.6,12.8,21.7,20.8
1/8/2008,226564,66114,19904,65881,79058,131606,211054,217391,15511,9173,29.2,8.8,29.1,34.9,58.1,93.2,96,6.8,4,15.8,18,26.1,28.4,15.8,12.7,23.7,20.5
12/31/2007,218353,66699,19234,60084,76090,130978,202873,210297,15479,8056,30.5,8.8,27.5,34.8,60,92.9,96.3,7.1,3.7,16.1,18.4,26.2,28.5,16,13.1,24.3,21.2
12/24/2007,211192,65193,18130,58952,72744,126058,196889,203140,14303,8053,30.9,8.6,27.9,34.4,59.7,93.2,96.2,6.8,3.8,16.3,18.2,25.8,28,16.2,13.6,24.2,21.4
12/18/2007,209073,63535,17839,57852,71919,124841,193306,200531,15767,8541,30.4,8.5,27.7,34.4,59.7,92.5,95.9,7.5,4.1,16.7,18.2,26.3,28.2,16.7,13.7,24.8,21.6
12/11/2007,208827,62352,18052,59856,72161,122520,194369,200428,14458,8399,29.9,8.6,28.7,34.6,58.7,93.1,96,6.9,4,17.7,18.5,27.5,29,17,13.9,25,21.9
12/4/2007,201563,60577,17611,56800,71120,119353,188497,193764,13066,7799,30.1,8.7,28.2,35.3,59.2,93.5,96.1,6.5,3.9,19,19.7,28.9,29.9,17.7,14.2,25.7,22.4
11/27/2007,194411,57111,17515,54698,71232,113940,183041,186152,11369,8259,29.4,9,28.1,36.6,58.6,94.2,95.8,5.8,4.2,20,20.2,30.2,30.8,18.2,14.1,26.6,22.3
11/20/2007,195579,57453,15860,53928,73245,117662,184626,187451,10953,8128,29.4,8.1,27.6,37.5,60.2,94.4,95.8,5.6,4.2,19.3,20.2,30,31.1,18.1,14.2,26.2,22.7
